Date,加權指數,波段低點區間,波段高點區間
2000/1/4,"8,756.55",0,1
2000/1/5,"8,849.87",0,1
2000/1/6,"8,922.03",0,1
2000/1/7,"8,845.47",0,1
2000/1/10,"9,102.60",0,1
2000/1/11,"8,927.03",0,1
2000/1/12,"9,144.65",0,1
2000/1/13,"9,107.19",0,1
2000/1/14,"9,023.24",0,1
2000/1/15,"9,191.37",0,1
2000/1/17,"9,315.43",0,1
2000/1/18,"9,250.19",0,1
2000/1/19,"9,151.44",0,1
2000/1/20,"9,136.95",0,1
2000/1/21,"9,255.94",0,1
2000/1/24,"9,387.07",0,1
2000/1/25,"9,372.37",0,1
2000/1/26,"9,581.96",0,1
2000/1/27,"9,628.98",0,1
2000/1/28,"9,696.91",0,1
2000/1/29,"9,636.38",0,1
2000/1/31,"9,744.89",0,1
2000/2/1,"9,856.39",0,1
2000/2/9,"10,008.90",0,1
2000/2/10,"10,057.70",0,1
2000/2/11,"10,128.70",0,1
2000/2/14,"9,971.45",0,1
2000/2/15,"9,957.74",0,1
2000/2/16,"10,064.50",0,1
2000/2/17,"10,202.20",0,1
2000/2/18,"10,096.40",0,1
2000/2/19,"10,161.00",0,1
2000/2/21,"9,912.67",0,1
2000/2/22,"9,731.93",0,1
2000/2/23,"9,642.26",0,1
2000/2/24,"9,599.17",0,1
2000/2/25,"9,432.49",0,1
2000/2/29,"9,435.94",0,1
2000/3/1,"9,689.10",0,1
2000/3/2,"9,543.82",0,1
2000/3/3,"9,588.03",0,1
2000/3/4,"9,517.97",0,1
2000/3/6,"9,367.91",0,1
2000/3/7,"9,380.07",0,1
2000/3/8,"9,389.49",0,1
2000/3/9,"9,587.27",0,1
2000/3/10,"9,429.60",0,1
2000/3/13,"8,811.95",0,1
2000/3/14,"8,835.58",0,1
2000/3/15,"8,640.03",0,1
2000/3/16,"8,682.76",0,1
2000/3/17,"8,763.27",0,1
2000/3/20,"8,536.05",0,1
2000/3/21,"9,004.48",0,1
2000/3/22,"9,069.39",0,1
2000/3/23,"9,533.87",0,1
2000/3/24,"9,482.64",0,1
2000/3/27,"9,807.57",0,1
2000/3/28,"9,856.60",0,1
2000/3/29,"9,805.69",0,1
2000/3/30,"9,931.94",0,1
2000/3/31,"9,854.95",0,1
2000/4/1,"10,050.40",0,1
2000/4/5,"10,186.20",0,1
2000/4/6,"9,969.28",0,1
2000/4/7,"9,921.03",0,1
2000/4/8,"9,934.57",0,1
2000/4/10,"10,127.50",0,1
2000/4/11,"10,068.00",0,1
2000/4/12,"9,911.39",0,1
2000/4/13,"9,662.60",0,1
2000/4/14,"9,374.61",0,1
2000/4/15,"8,866.80",0,1
2000/4/17,"8,993.68",0,1
2000/4/18,"9,307.03",0,1
2000/4/19,"9,104.40",0,1
2000/4/20,"9,109.05",0,1
2000/4/21,"9,120.48",0,1
2000/4/24,"8,808.09",0,1
2000/4/25,"8,921.12",0,1
2000/4/26,"8,535.96",0,1
2000/4/27,"8,541.95",0,1
2000/4/28,"8,824.36",0,1
2000/4/29,"8,777.35",0,1
2000/5/2,"8,638.75",0,1
2000/5/3,"8,420.00",0,1
2000/5/4,"8,425.38",0,1
2000/5/5,"8,698.53",0,1
2000/5/6,"8,657.13",0,1
2000/5/8,"8,616.18",0,1
2000/5/9,"8,635.84",0,1
2000/5/10,"8,559.87",0,1
2000/5/11,"8,349.91",0,1
2000/5/12,"8,560.44",0,1
2000/5/15,"8,465.02",0,1
2000/5/16,"8,727.82",0,1
2000/5/17,"9,085.74",0,1
2000/5/18,"9,087.21",0,0
2000/5/19,"9,119.77",0,0
2000/5/20,"8,820.35",0,0
2000/5/22,"8,807.57",0,0
2000/5/23,"8,671.01",0,0
2000/5/24,"8,500.41",0,0
2000/5/25,"8,438.10",0,0
2000/5/26,"8,559.46",0,0
2000/5/29,"8,588.25",0,0
2000/5/30,"8,764.42",0,0
2000/5/31,"8,939.52",0,0
2000/6/1,"8,842.63",0,0
2000/6/2,"8,883.45",0,0
2000/6/3,"8,935.64",0,0
2000/6/5,"8,958.21",0,0
2000/6/7,"9,115.47",0,0
2000/6/8,"9,067.88",0,0
2000/6/9,"9,036.66",0,0
2000/6/12,"8,955.44",0,0
2000/6/13,"8,891.09",0,0
2000/6/14,"8,935.23",0,0
2000/6/15,"8,844.97",0,0
2000/6/16,"8,832.15",0,0
2000/6/17,"8,770.80",0,0
2000/6/19,"8,751.10",0,0
2000/6/20,"8,690.66",0,0
2000/6/21,"8,637.60",0,0
2000/6/22,"8,771.77",0,0
2000/6/23,"8,684.93",0,0
2000/6/26,"8,529.56",0,0
